location,Bimbaletes Aguascalientes (El Álamo),Bimbaletes Aguascalientes (El Álamo)
lat,21.66655,21.66655
lon,-102.1875,-102.1875
asl,1949.318,1949.318
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Bimbaletes Aguascalientes (El Álamo) Wind Speed [80 m],Bimbaletes Aguascalientes (El Álamo) Wind Direction [80 m]
20200414T0000,21.518847,287.52557
20200414T0100,14.917212,289.74683
20200414T0200,9.6932955,285.06848
20200414T0300,7.2359104,275.7106
20200414T0400,6.162207,263.29016
20200414T0500,5.6920996,251.56506
20200414T0600,5.495161,238.3925
20200414T0700,9.0645685,186.84277
20200414T0800,9.3669195,182.20259
20200414T0900,9.36,180
20200414T1000,10.137692,196.50436
20200414T1100,16.575644,214.38034
20200414T1200,22.218153,220.3999
20200414T1300,25.460934,223.85425
20200414T1400,28.019936,227.08257
20200414T1500,30.472675,231.23448
20200414T1600,30.96837,234.46233
20200414T1700,31.178993,238.69588
20200414T1800,31.087412,241.65431
20200414T1900,30.911821,243.73337
20200414T2000,28.412645,247.65936
20200414T2100,32.396,255.19164
20200414T2200,32.283787,262.95422
20200414T2300,28.460497,267.82526
20200415T0000,21.288757,266.1215
20200415T0100,15.111424,257.61926
20200415T0200,11.119281,240.9454
20200415T0300,10.948973,226.33223
20200415T0400,10.97262,221.0091
20200415T0500,10.799999,216.8699
20200415T0600,10.805998,209.98164
20200415T0700,12.641076,199.98311
20200415T0800,12.768586,220.42609
20200415T0900,7.729527,207.75854
20200415T1000,13.18308,214.99202
20200415T1100,19.35314,226.50743
20200415T1200,24.912935,232.63333
20200415T1300,28.056913,236.51382
20200415T1400,29.460672,237.47511
20200415T1500,30.811037,239.83994
20200415T1600,30.77105,241.33604
20200415T1700,31.877792,243.14558
20200415T1800,32.058197,245.44955
20200415T1900,32.35997,249.14554
20200415T2000,27.792374,253.44293
20200415T2100,28.82249,260.65533
20200415T2200,28.162956,265.6013
20200415T2300,24.850431,271.66028
20200416T0000,17.731598,275.82635
20200416T0100,11.159999,270
20200416T0200,7.968939,251.56506
20200416T0300,7.7879906,236.30994
20200416T0400,8.14587,225
20200416T0500,8.4963045,216.38435
20200416T0600,8.854829,206.56505
20200416T0700,9.565437,199.79887
20200416T0800,9.693296,211.32869
20200416T0900,6.9899354,191.88866
20200416T1000,10.948973,207.40758
20200416T1100,16.323528,221.42366
20200416T1200,20.87379,225
20200416T1300,24.458813,227.38594
20200416T1400,26.044699,229.48462
20200416T1500,26.712873,232.66681
20200416T1600,26.959166,235.88553
20200416T1700,27.783045,238.7816
20200416T1800,27.553524,241.09082
20200416T1900,26.729847,244.4703
20200416T2000,26.64,251.07536
20200416T2100,28.054604,261.14203
20200416T2200,28.1169,272.93567
20200416T2300,25.233406,284.03625
20200417T0000,18.919704,291.19406
20200417T0100,12.57426,293.6294
20200417T0200,9.107359,288.43497
20200417T0300,8.473393,282.26477
20200417T0400,7.5942073,275.44034
20200417T0500,7.2,270
20200417T0600,7.6367526,261.8699
20200417T0700,7.5942073,264.5597
20200417T0800,7.42159,219.09386
20200417T0900,7.10031,239.53445
20200417T1000,8.225035,246.8014
20200417T1100,11.177405,255.06857
20200417T1200,13.797913,254.87599
