location,Los Almárcigos,Los Almárcigos
lat,18.99989,18.99989
lon,-103.59375,-103.59375
asl,730.760,730.760
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Los Almárcigos Wind Speed [80 m],Los Almárcigos Wind Direction [80 m]
20200414T0000,10.105681,265.91437
20200414T0100,7.92,270.0
20200414T0200,5.4119864,273.8141
20200414T0300,3.4152596,288.43497
20200414T0400,1.2979984,326.30994
20200414T0500,2.0364676,44.999985
20200414T0600,4.6800003,67.380135
20200414T0700,9.885262,79.50852
20200414T0800,10.495713,84.09385
20200414T0900,10.464798,86.05482
20200414T1000,7.628263,109.29004
20200414T1100,7.2,143.1301
20200414T1200,6.87779,173.991
20200414T1300,9.565437,199.79887
20200414T1400,11.183201,213.17851
20200414T1500,14.021525,221.87787
20200414T1600,15.815435,228.69138
20200414T1700,19.586119,233.97263
20200414T1800,20.3774,237.99463
20200414T1900,21.794127,239.19855
20200414T2000,21.749483,241.31384
20200414T2100,21.42227,245.15762
20200414T2200,16.965895,252.7185
20200414T2300,13.441071,262.30396
20200415T0000,10.08,270.0
20200415T0100,7.69592,280.7843
20200415T0200,5.4833565,293.1986
20200415T0300,3.319036,319.3987
20200415T0400,3.2399998,360.0
20200415T0500,4.39436,34.99202
20200415T0600,6.4096174,51.842773
20200415T0700,6.725354,74.47588
20200415T0800,7.5685663,25.34616
20200415T0900,7.42159,39.09384
20200415T1000,5.815978,68.19859
20200415T1100,4.3498964,114.44395
20200415T1200,4.452954,165.96376
20200415T1300,7.072878,194.74356
20200415T1400,8.854829,206.56505
20200415T1500,10.799999,216.8699
20200415T1600,11.709688,225.0
20200415T1700,14.05845,230.19443
20200415T1800,15.408671,232.59465
20200415T1900,18.171976,236.30994
20200415T2000,20.929594,243.43495
20200415T2100,20.523157,248.38522
20200415T2200,16.862455,253.8866
20200415T2300,13.441071,262.30396
20200416T0000,9.726665,267.8789
20200416T0100,6.849467,273.0128
20200416T0200,3.96,270.0
20200416T0300,1.8,270.0
20200416T0400,0.0,180.0
20200416T0500,2.8799999,89.99999
20200416T0600,5.771239,86.42367
20200416T0700,7.9932976,82.23483
20200416T0800,6.8777895,42.87889
20200416T0900,7.2,53.130096
20200416T1000,7.2805495,81.46923
20200416T1100,6.489992,109.44003
20200416T1200,5.692099,145.30484
20200416T1300,6.8399997,180.0
20200416T1400,8.905908,194.03624
20200416T1500,10.948973,207.40758
20200416T1600,12.819235,218.15723
20200416T1700,14.512064,226.0051
20200416T1800,15.124284,231.76617
20200416T1900,17.57744,235.00798
20200416T2000,20.447239,243.8861
20200416T2100,20.140705,245.72556
20200416T2200,17.076298,251.56506
20200416T2300,13.708391,256.3287
20200417T0000,11.013882,258.69006
20200417T0100,8.557102,255.37914
20200417T0200,5.815978,248.1986
20200417T0300,3.319036,229.39871
20200417T0400,1.1384199,161.56505
20200417T0500,3.6179552,84.289406
20200417T0600,6.725354,74.47588
20200417T0700,9.346143,74.35776
20200417T0800,9.826088,28.442917
20200417T0900,9.178235,41.82016
20200417T1000,7.42159,67.166336
20200417T1100,5.8048253,97.125015
20200417T1200,4.3349743,138.36646
20200417T1300,5.7599998,180.0
20200417T1400,7.8954163,204.22775
20200417T1500,14.512064,223.99492
20200417T1600,21.599998,233.1301
20200417T1700,21.068459,236.853
20200417T1800,21.120682,240.37625
20200417T1900,21.897945,242.59244
20200417T2000,20.608229,242.98734
20200417T2100,19.523155,247.2176
20200417T2200,16.62249,252.34988
20200417T2300,13.627795,257.79953
20200418T0000,10.594036,260.2176
20200418T0100,8.350138,262.5686
20200418T0200,6.489992,266.8202
20200418T0300,3.9763298,275.19443
20200418T0400,1.609969,296.56506
20200418T0500,1.2979984,33.690063
