location,Nueva Baja California,Nueva Baja California
lat,30.99987,30.99987
lon,-116.25000,-116.25000
asl,195.257,195.257
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Nueva Baja California Wind Speed [80 m],Nueva Baja California Wind Direction [80 m]
20200414T0000,5.5887027,194.93143
20200414T0100,4.0249224,190.30484
20200414T0200,2.968636,165.96376
20200414T0300,2.3051248,141.34018
20200414T0400,2.0991426,120.96376
20200414T0500,2.5455842,171.8699
20200414T0600,2.3051248,141.34018
20200414T0700,3.7585104,106.69924
20200414T0800,5.2416787,105.9454
20200414T0900,4.73506,98.74616
20200414T1000,2.9024127,97.125015
20200414T1100,2.2768397,108.434944
20200414T1200,2.16,180.0
20200414T1300,5.904439,232.43141
20200414T1400,7.729527,242.24146
20200414T1500,9.9571085,257.4712
20200414T1600,9.72,270.0
20200414T1700,12.324414,276.70984
20200414T1800,10.08,270.0
20200414T1900,9.0645685,263.15723
20200414T2000,6.130579,266.63354
20200414T2100,1.8,323.13013
20200414T2200,3.8939953,56.30993
20200414T2300,6.489992,70.55996
20200415T0000,7.172949,72.47443
20200415T0100,7.5170207,73.30075
20200415T0200,7.69592,79.2157
20200415T0300,8.311245,85.03026
20200415T0400,8.287822,87.510445
20200415T0500,10.028439,68.96249
20200415T0600,10.514218,51.95294
20200415T0700,10.495713,59.036232
20200415T0800,9.659814,63.43495
20200415T0900,5.6920996,71.56504
20200415T1000,1.8,89.99999
20200415T1100,3.319036,229.39871
20200415T1200,8.089993,249.14554
20200415T1300,13.1041975,254.0546
20200415T1400,16.327497,255.96376
20200415T1500,20.545246,258.88696
20200415T1600,22.91026,261.8699
20200415T1700,25.812277,261.9829
20200415T1800,14.799459,265.8151
20200415T1900,14.205182,261.25385
20200415T2000,12.074766,259.69516
20200415T2100,9.47012,261.25385
20200415T2200,7.172949,252.47443
20200415T2300,5.6920996,251.56506
20200416T0000,3.7585104,253.30075
20200416T0100,3.4152596,251.56506
20200416T0200,3.219938,243.43495
20200416T0300,3.5455887,246.0375
20200416T0400,2.9024127,240.25513
20200416T0500,2.7416782,246.8014
20200416T0600,4.6800003,292.61987
20200416T0700,6.830519,288.43497
20200416T0800,5.495161,301.6075
20200416T0900,8.707238,277.125
20200416T1000,12.24,270.0
20200416T1100,16.563911,268.75464
20200416T1200,18.448023,264.40067
20200416T1300,21.479666,256.42957
20200416T1400,23.110205,251.84729
20200416T1500,25.537172,248.49857
