location,San Ignacio,San Ignacio
lat,27.33321,27.33321
lon,-113.43750,-113.43750
asl,128.349,128.349
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,San Ignacio Wind Speed [80 m],San Ignacio Wind Direction [80 m]
20200414T0000,11.525623,268.21008
20200414T0100,10.446206,268.0251
20200414T0200,10.805999,271.90915
20200414T0300,9.885262,280.4915
20200414T0400,10.483357,285.9454
20200414T0500,10.24578,288.43494
20200414T0600,10.315115,299.24884
20200414T0700,9.387651,302.4712
20200414T0800,8.587338,303.02386
20200414T0900,7.7879906,303.69006
20200414T1000,7.7043357,307.40536
20200414T1100,6.8777895,312.8789
20200414T1200,5.904439,307.5686
20200414T1300,5.692099,304.69516
20200414T1400,6.439876,296.56506
20200414T1500,7.968939,288.43497
20200414T1600,10.028439,291.0375
20200414T1700,12.245293,294.30457
20200414T1800,14.336861,298.49567
20200414T1900,16.87398,303.69006
20200414T2000,12.783802,302.34747
20200414T2100,10.630672,298.30078
20200414T2200,9.83268,293.7495
20200414T2300,8.089993,290.85446
20200415T0000,8.089993,290.85446
20200415T0100,8.225035,293.1986
20200415T0200,8.707237,299.74487
20200415T0300,8.287822,304.38034
20200415T0400,8.161764,311.42368
20200415T0500,7.8954163,316.8476
20200415T0600,6.638072,310.60132
20200415T0700,10.041354,345.46555
20200415T0800,7.9932976,352.23483
20200415T0900,5.0528407,355.91437
20200415T1000,6.28713,13.240509
20200415T1100,9.726664,38.990982
20200415T1200,14.565548,50.013107
20200415T1300,14.57889,57.094757
20200415T1400,10.685391,57.380745
20200415T1500,6.1305785,49.76364
20200415T1600,3.4152596,18.434952
20200415T1700,3.7064266,330.94543
20200415T1800,5.3517847,312.27368
20200415T1900,12.096214,306.52887
20200415T2000,9.1641035,315.0
20200415T2100,6.1305785,310.23636
20200415T2200,5.3517847,312.27368
20200415T2300,4.829907,296.56506
20200416T0000,4.802999,282.99463
20200416T0100,4.6938252,274.3987
20200416T0200,4.379589,279.46234
20200416T0300,3.671294,281.30994
20200416T0400,3.0758414,290.55603
20200416T0500,2.9024127,299.74487
20200416T0600,2.8116899,320.19443
20200416T0700,5.5887027,284.93143
20200416T0800,4.68,270.0
20200416T0900,4.6938252,265.6013
20200416T1000,5.1544156,257.90524
20200416T1100,6.28713,256.7595
20200416T1200,7.754637,248.1986
20200416T1300,11.435313,241.82141
20200416T1400,16.1198,240.57254
20200416T1500,20.140705,241.14435
20200416T1600,24.472057,243.81189
20200416T1700,27.086262,246.50143
20200416T1800,29.374763,250.67682
20200416T1900,20.140705,245.72556
20200416T2000,22.702845,255.30269
20200416T2100,20.774214,261.02737
20200416T2200,14.05845,256.67548
20200416T2300,11.841756,250.46335
20200417T0000,11.113451,245.09525
20200417T0100,9.585739,235.71313
20200417T0200,9.449572,229.63547
20200417T0300,8.669949,228.36647
20200417T0400,8.78872,235.00798
20200417T0500,8.089993,249.14554
20200417T0600,7.42159,255.96376
20200417T0700,3.6,233.1301
20200417T0800,6.28713,246.37064
20200417T0900,5.3517847,250.34618
20200417T1000,7.0911775,246.0375
20200417T1100,9.085988,236.30994
20200417T1200,13.397612,239.30028
20200417T1300,19.881649,238.32454
20200417T1400,24.514387,240.0464
20200417T1500,28.185955,241.79837
20200417T1600,31.404713,244.90375
20200417T1700,33.29173,248.4287
20200417T1800,34.152596,251.56506
20200417T1900,26.6327,260.665
20200417T2000,24.490587,268.3153
20200417T2100,16.575644,272.48956
20200417T2200,12.959999,270.0
20200417T2300,11.159999,270.0
20200418T0000,10.799999,270.0
20200418T0100,10.446206,271.9749
20200418T0200,10.853866,275.7106
20200418T0300,10.390226,284.03625
20200418T0400,10.931203,287.24146
20200418T0500,10.829958,291.44775
20200418T0600,10.636766,293.9625
20200418T0700,11.503113,290.1363
20200418T0800,9.0,286.2602
20200418T0900,8.766573,289.17902
20200418T1000,10.308831,282.09476
20200418T1100,11.304229,279.16235
20200418T1200,14.973576,279.68878
20200418T1300,17.935081,280.4077
20200418T1400,21.322214,281.68936
20200418T1500,27.067116,283.85144
20200418T1600,31.259941,284.6764
20200418T1700,32.587456,286.03235
20200418T1800,30.282827,288.00415
20200418T1900,19.386593,291.8014
20200418T2000,18.448023,287.0205
20200418T2100,14.494192,284.3814
20200418T2200,13.138765,279.46234
20200418T2300,11.570515,275.35583
20200419T0000,10.799999,270.0
20200419T0100,10.08,270.0
20200419T0200,9.72,270.0
20200419T0300,9.3876505,274.3987
20200419T0400,9.885262,280.4915
20200419T0500,10.137692,286.50436
20200419T0600,10.829958,291.44775
20200419T0700,10.630672,298.30078
20200419T0800,8.473393,282.26477
20200419T0900,7.42159,284.03625
20200419T1000,7.9932976,277.76517
20200419T1100,9.007196,272.29062
20200419T1200,10.853866,275.7106
20200419T1300,11.659777,278.88065
20200419T1400,14.264361,280.1755
20200419T1500,17.581125,280.61966
20200419T1600,21.398056,282.63336
20200419T1700,24.448214,283.627
20200419T1800,29.07989,285.06848
20200419T1900,20.150354,288.75867
20200419T2000,15.893093,283.0919
20200419T2100,13.797912,277.49585
20200419T2200,13.004921,274.76364
20200419T2300,11.5199995,270.0
20200420T0000,10.823973,266.1859
20200420T0100,9.0645685,263.15723
20200420T0200,8.647496,267.61407
20200420T0300,9.028754,274.5739
20200420T0400,9.605998,282.99463
20200420T0500,9.904906,289.0935
20200420T0600,10.365251,290.32315
20200420T0700,12.904882,292.9887
20200420T0800,11.792404,282.33908
20200420T0900,12.496719,281.63364
20200420T1000,12.849528,281.30994
20200420T1100,12.074766,280.30487
20200420T1200,12.783802,279.7276
20200420T1300,13.979871,281.88867
20200420T1400,17.026896,283.4486
20200420T1500,17.902534,285.15405
20200420T1600,19.386591,285.06848
20200420T1700,15.893093,283.0919
20200420T1800,13.493999,279.21103
20200420T1900,17.418196,288.0605
20200420T2000,15.5843,276.6325
20200420T2100,13.679999,270.0
20200420T2200,13.339445,266.90594
20200420T2300,11.525623,268.21008
20200421T0000,11.5199995,270.0
20200421T0100,10.105681,274.08563
20200421T0200,10.239453,280.1247
20200421T0300,10.308831,282.09476
20200421T0400,10.829959,285.42218
20200421T0500,11.503113,290.1363
20200421T0600,12.10157,292.75098
20200421T0700,11.91812,295.0169
20200421T0800,11.113451,294.90475
20200421T0900,8.891344,291.37064
20200421T1000,9.449572,287.7447
20200421T1100,9.531505,280.88553
20200421T1200,10.8955765,277.59464
20200421T1300,12.287555,275.04245
20200421T1400,14.113653,275.85602
20200421T1500,13.722565,274.51398
20200421T1600,14.154915,277.30576
20200421T1700,12.6462,274.8991
20200421T1800,13.397612,276.1702
20200421T1900,13.039754,276.34018
20200421T2000,13.75558,276.009
20200421T2100,13.684735,271.50745
20200421T2200,12.959999,270.0
20200421T2300,11.159999,270.0
