location,Sierra Tomóchic,Sierra Tomóchic
lat,28.33321,28.33321
lon,-107.81250,-107.81250
asl,2238.570,2238.570
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Sierra Tomóchic Wind Speed [80 m],Sierra Tomóchic Wind Direction [80 m]
20200414T0000,17.58481,247.10945
20200414T0100,14.973577,242.8189
20200414T0200,14.48972,243.43495
20200414T0300,13.527572,244.79889
20200414T0400,11.592895,244.23068
20200414T0500,9.983106,244.359
20200414T0600,6.763786,244.79889
20200414T0700,5.1919937,236.30994
20200414T0800,4.8433046,221.98721
20200414T0900,2.7416782,203.1986
20200414T1000,5.692099,235.30484
20200414T1100,12.074766,243.43495
20200414T1200,17.25373,246.64444
20200414T1300,21.629978,251.56506
20200414T1400,25.582806,256.1593
20200414T1500,29.09103,257.8557
20200414T1600,31.559088,258.81824
20200414T1700,31.70658,257.54175
20200414T1800,31.786186,256.9081
20200414T1900,30.222849,257.61926
20200414T2000,26.882141,262.30396
20200414T2100,23.78453,267.39743
20200414T2200,23.0653,272.68378
20200414T2300,19.296133,278.58362
20200415T0000,13.979871,281.88867
20200415T0100,10.390226,284.03625
20200415T0200,8.473393,282.26477
20200415T0300,7.172949,287.52557
20200415T0400,6.489992,289.44003
20200415T0500,5.3517847,289.6538
20200415T0600,5.8048253,262.875
20200415T0700,6.4799995,270.0
20200415T0800,4.896529,252.89728
20200415T0900,4.3498964,245.55606
20200415T1000,9.346143,254.35776
20200415T1100,16.73516,251.1753
20200415T1200,21.046917,257.15228
20200415T1300,24.442911,260.67642
20200415T1400,27.645092,261.76437
20200415T1500,29.339449,263.65982
20200415T1600,31.093666,264.68546
20200415T1700,31.06239,265.34665
20200415T1800,31.06239,265.34665
20200415T1900,28.802248,270.71616
20200415T2000,24.216522,275.1173
20200415T2100,19.201874,276.4588
20200415T2200,18.584509,278.91492
20200415T2300,16.808569,279.8658
20200416T0000,11.609651,277.125
20200416T0100,8.311245,265.03027
20200416T0200,6.9899354,258.11133
20200416T0300,5.8603754,259.38034
20200416T0400,4.802999,257.00537
20200416T0500,3.7585104,253.30075
20200416T0600,3.219938,243.43495
20200416T0700,5.6233797,219.80557
20200416T0800,5.00128,210.25644
20200416T0900,3.0547013,225.0
20200416T1000,7.24486,243.43495
20200416T1100,16.434305,241.18921
20200416T1200,20.46941,246.13983
20200416T1300,22.884789,250.70996
20200416T1400,25.96496,253.07248
20200416T1500,28.241077,252.95097
20200416T1600,31.205997,253.23746
20200416T1700,32.10667,252.37772
20200416T1800,32.217484,251.76752
20200416T1900,28.528723,259.8245
20200416T2000,25.006397,263.38654
20200416T2100,20.674158,262.99872
20200416T2200,14.917212,261.67435
20200416T2300,10.390226,255.96376
20200417T0000,8.707237,240.25513
20200417T0100,8.78872,235.00798
20200417T0200,8.942214,229.8991
20200417T0300,8.435069,230.19443
20200417T0400,8.435069,230.19443
20200417T0500,8.435069,230.19443
20200417T0600,9.1641035,225.0
20200417T0700,20.26899,236.59218
20200417T0800,13.746156,225.0
20200417T0900,16.039202,224.09062
20200417T1000,20.390114,222.1376
20200417T1100,20.88,223.60281
20200417T1200,28.227304,232.2532
20200417T1300,31.65135,236.1292
20200417T1400,33.05145,237.00229
20200417T1500,33.05145,237.00229
20200417T1600,33.96233,237.99463
20200417T1700,34.154495,237.48248
20200417T1800,33.851486,237.15495
20200417T1900,28.99062,241.84381
20200417T2000,22.881958,245.85446
20200417T2100,16.981165,248.87527
20200417T2200,13.708391,246.8014
20200417T2300,11.269782,243.43495
20200418T0000,9.983106,244.359
20200418T0100,9.339208,242.44719
20200418T0200,8.707237,240.25513
20200418T0300,7.8954163,245.77226
20200418T0400,8.854829,243.43495
20200418T0500,9.178235,244.44003
20200418T0600,9.339208,242.44719
20200418T0700,8.534353,242.35403
20200418T0800,6.297428,239.03625
20200418T0900,10.829958,248.55226
20200418T1000,23.188583,242.24146
20200418T1100,28.712116,239.8987
20200418T1200,32.2396,240.57254
20200418T1300,35.598152,241.62076
20200418T1400,39.134167,242.02054
20200418T1500,40.743664,242.07642
20200418T1600,42.986473,243.64954
20200418T1700,43.82695,245.7508
20200418T1800,42.732468,246.67465
20200418T1900,40.998924,253.15619
20200418T2000,33.3792,253.71509
20200418T2100,27.103,253.00919
20200418T2200,23.006226,249.86371
20200418T2300,20.991426,247.83365
20200419T0000,21.129885,246.9296
20200419T0100,21.068459,250.0169
20200419T0200,20.620806,253.77982
20200419T0300,17.727943,257.0926
20200419T0400,14.241629,253.85567
20200419T0500,11.298495,247.52057
20200419T0600,10.630672,241.69925
20200419T0700,10.041354,255.46555
20200419T0800,5.315336,241.69925
20200419T0900,7.072878,255.25644
20200419T1000,10.661107,258.31064
20200419T1100,18.94024,261.25385
20200419T1200,22.782625,264.5597
20200419T1300,26.67889,266.90594
20200419T1400,29.888672,268.61966
20200419T1500,31.338614,268.0251
20200419T1600,32.09052,266.78452
20200419T1700,31.810638,264.80557
20200419T1800,31.526215,263.44305
20200419T1900,31.129074,264.0257
20200419T2000,25.919998,270.0
20200419T2100,21.2522,271.94147
20200419T2200,16.93531,267.56335
20200419T2300,12.7279215,261.8699
20200420T0000,11.384199,251.56506
20200420T0100,10.636766,246.0375
20200420T0200,10.144082,242.52557
20200420T0300,9.19939,239.42078
20200420T0400,9.0,233.1301
20200420T0500,8.161764,228.57634
20200420T0600,8.913181,223.36343
20200420T0700,8.891343,238.24052
20200420T0800,5.6002855,225.0
20200420T0900,7.729527,242.24146
20200420T1000,14.24163,249.27444
20200420T1100,23.491207,254.8989
20200420T1200,25.984917,259.62415
20200420T1300,28.30983,262.69424
20200420T1400,30.77105,263.9559
20200420T1500,31.845251,264.16052
20200420T1600,32.91983,264.35175
20200420T1700,32.59939,263.65982
20200420T1800,32.527744,264.9204
20200420T1900,30.602118,270.67404
20200420T2000,27.009598,271.52753
20200420T2100,23.803596,273.46823
20200420T2200,20.523155,271.0051
20200420T2300,13.339445,266.90594
20200421T0000,11.090103,256.86597
20200421T0100,9.360001,247.38014
20200421T0200,9.028754,246.50143
20200421T0300,8.534353,242.35403
20200421T0400,8.0899935,237.72437
20200421T0500,7.2,233.1301
20200421T0600,7.386582,226.97495
20200421T0700,6.8777895,222.8789
20200421T0800,7.289445,212.90524
20200421T0900,5.315336,208.30077
20200421T1000,8.78872,235.00798
20200421T1100,15.315873,246.44774
20200421T1200,18.556595,251.91656
20200421T1300,22.007162,254.82709
20200421T1400,26.983194,256.8908
20200421T1500,30.85307,258.55896
20200421T1600,33.74796,258.9298
20200421T1700,34.674183,257.40668
20200421T1800,35.538033,256.52686
20200421T1900,34.245445,257.8632
20200421T2000,30.54701,261.8699
20200421T2100,26.795223,263.82983
20200421T2200,23.893261,263.9458
20200421T2300,20.969805,258.11133
