location,Presa San Antonio,Presa San Antonio
lat,24.33321,24.33321
lon,-100.31250,-100.31250
asl,1896.160,1896.160
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Presa San Antonio Wind Speed [80 m],Presa San Antonio Wind Direction [80 m]
20200414T0000,12.7279215,118.73979
20200414T0100,11.525623,141.34018
20200414T0200,11.928989,174.80557
20200414T0300,12.864649,197.92792
20200414T0400,14.336861,208.49564
20200414T0500,15.1884165,211.42957
20200414T0600,13.684735,215.36246
20200414T0700,10.883676,235.7843
20200414T0800,9.826088,241.55707
20200414T0900,8.225035,246.8014
20200414T1000,2.7416782,203.1986
20200414T1100,4.8433046,138.01279
20200414T1200,7.653705,131.18591
20200414T1300,10.195057,132.13759
20200414T1400,12.738099,132.70938
20200414T1500,15.683774,121.86598
20200414T1600,18.193361,117.072075
20200414T1700,21.41319,106.60698
20200414T1800,21.746504,96.65443
20200414T1900,23.444265,86.478546
20200414T2000,21.749481,77.57406
20200414T2100,19.242327,72.58202
20200414T2200,15.937878,71.56504
20200414T2300,15.256526,70.70995
20200415T0000,13.049689,65.55604
20200415T0100,13.570615,68.19859
20200415T0200,12.9249525,77.12499
20200415T0300,12.261158,86.63353
20200415T0400,10.440001,89.99999
20200415T0500,9.114471,99.09027
20200415T0600,8.4042845,99.86581
20200415T0700,9.339208,117.55281
20200415T0800,9.360001,112.61986
20200415T0900,12.0694,107.35402
20200415T1000,13.207634,107.44718
20200415T1100,15.042659,111.0375
20200415T1200,15.617529,115.97439
20200415T1300,16.58346,117.12131
20200415T1400,19.483284,117.51199
20200415T1500,22.870626,118.17859
20200415T1600,24.344624,113.53235
20200415T1700,27.333935,102.93805
20200415T1800,26.121714,97.125015
20200415T1900,23.78453,92.60256
20200415T2000,18.129137,83.15723
20200415T2100,17.698677,85.33313
20200415T2200,14.471821,84.289406
20200415T2300,11.570515,84.64417
20200416T0000,8.64,89.99999
20200416T0100,6.130579,93.366455
20200416T0200,3.6,126.869896
20200416T0300,5.0528407,175.91438
20200416T0400,5.8603754,190.61966
20200416T0500,6.489992,199.44003
20200416T0600,5.5887027,194.93143
20200416T0700,5.8048253,187.12502
20200416T0800,8.161764,221.42366
20200416T0900,4.072935,225.0
20200416T1000,2.6208394,164.0546
20200416T1100,6.989936,124.508514
20200416T1200,9.585739,124.28687
20200416T1300,12.245293,114.30454
20200416T1400,13.779114,109.85521
20200416T1500,16.676977,103.73626
20200416T1600,18.161278,103.76078
20200416T1700,21.915693,104.26451
20200416T1800,24.18707,104.656746
20200416T1900,23.933907,96.911224
20200416T2000,18.35647,78.69006
20200416T2100,18.0036,78.46538
20200416T2200,14.618837,80.07375
20200416T2300,11.570515,84.64417
20200417T0000,9.9571085,102.52881
20200417T0100,9.422101,136.54816
20200417T0200,11.901798,176.53177
20200417T0300,13.281023,212.82855
20200417T0400,14.386494,238.29858
20200417T0500,16.73516,251.1753
20200417T0600,18.782204,257.82855
20200417T0700,20.898611,259.0772
20200417T0800,16.09969,259.69516
20200417T0900,14.830076,264.4278
20200417T1000,13.441071,262.30396
20200417T1100,11.177405,255.06857
20200417T1200,12.7279215,261.8699
20200417T1300,11.901798,273.46823
20200417T1400,10.041354,284.53445
20200417T1500,6.9527545,291.2505
20200417T1600,2.9024127,299.74487
20200417T1700,4.452954,75.96376
20200417T1800,11.901798,86.53177
20200417T1900,20.478907,79.87532
20200417T2000,14.658676,65.323135
20200417T2100,19.296133,81.41638
20200417T2200,18.733839,92.2026
