location,Ojuelos de Jalisco,Ojuelos de Jalisco
lat,21.99989,21.99989
lon,-101.71875,-101.71875
asl,2208.013,2208.013
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Ojuelos de Jalisco Wind Speed [80 m],Ojuelos de Jalisco Wind Direction [80 m]
20200414T0000,5.991594,302.73523
20200414T0100,1.4399999,360.0
20200414T0200,1.835647,101.30993
20200414T0300,3.319036,139.3987
20200414T0400,4.6938252,175.60129
20200414T0500,5.8048253,187.12502
20200414T0600,6.6185193,202.38013
20200414T0700,7.10031,239.53445
20200414T0800,7.491114,234.78241
20200414T0900,7.9932966,234.16235
20200414T1000,8.161764,228.57634
20200414T1100,16.831684,228.46823
20200414T1200,22.915916,226.27303
20200414T1300,25.741888,227.8341
20200414T1400,27.609911,230.29008
20200414T1500,29.168886,234.54453
20200414T1600,30.566095,237.99463
20200414T1700,32.042023,242.57126
20200414T1800,32.688713,244.56378
20200414T1900,32.2396,246.29736
20200414T2000,29.157776,249.77515
20200414T2100,26.459389,255.01837
20200414T2200,21.322214,258.31064
20200414T2300,16.454008,259.9194
20200415T0000,9.9571085,257.4712
20200415T0100,5.3999996,233.1301
20200415T0200,5.8048253,187.12502
20200415T0300,8.28,180.0
20200415T0400,10.08,180.0
20200415T0500,11.159999,180.0
20200415T0600,11.885453,181.7357
20200415T0700,14.440443,184.28915
20200415T0800,9.0,216.8699
20200415T0900,6.379216,196.38954
20200415T1000,11.298495,210.65067
20200415T1100,19.8,233.1301
20200415T1200,28.017622,242.44719
20200415T1300,31.079075,244.62225
20200415T1400,33.493546,244.53665
20200415T1500,34.981182,246.33687
20200415T1600,36.16701,247.77496
20200415T1700,37.374172,249.12099
20200415T1800,38.023907,251.22197
20200415T1900,36.8486,255.28493
20200415T2000,23.219301,262.875
20200415T2100,20.519999,270.0
20200415T2200,15.84,270.0
20200415T2300,11.525623,268.21008
20200416T0000,5.8603754,259.38034
20200416T0100,2.9024127,187.12502
20200416T0200,5.634891,153.43495
20200416T0300,7.0911775,156.0375
20200416T0400,8.557102,165.37912
20200416T0500,9.779817,173.6598
20200416T0600,10.799999,180.0
