location,Zapotitlán,Zapotitlán
lat,20.05286,20.05286
lon,-97.59695,-97.59695
asl,668.950,668.950
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Zapotitlán Wind Speed [80 m],Zapotitlán Wind Direction [80 m]
20200414T0000,2.6208394,344.0546
20200414T0100,4.3349743,311.63354
20200414T0200,4.1046314,307.875
20200414T0300,3.7064266,299.0546
20200414T0400,3.5455887,293.9625
20200414T0500,3.396233,302.00537
20200414T0600,3.096837,305.5377
20200414T0700,0.8049845,26.565033
20200414T0800,0.35999998,360.0
20200414T0900,2.5455842,8.130096
20200414T1000,4.3349743,4.7636414
20200414T1100,5.3517847,19.653809
20200414T1200,3.671294,78.69006
20200414T1300,7.2359104,174.28941
20200414T1400,9.178235,221.82018
20200414T1500,3.7585104,253.30075
20200414T1600,4.73506,81.25384
20200414T1700,11.901798,93.46823
20200414T1800,14.759999,102.680374
20200414T1900,13.722565,94.513985
20200414T2000,15.745627,79.460815
20200414T2100,17.238699,61.294044
20200414T2200,13.746156,44.999985
20200414T2300,10.464797,26.565033
20200415T0000,9.107359,18.434952
20200415T0100,10.30883,24.775131
20200415T0200,11.753877,27.349869
20200415T0300,9.178235,25.559967
20200415T0400,6.489992,356.8202
20200415T0500,7.2,323.13013
20200415T0600,11.720751,317.48956
20200415T0700,5.904439,322.43143
20200415T0800,18.94024,8.74614
20200415T0900,12.015589,351.38434
20200415T1000,8.404285,316.73572
20200415T1100,8.905908,284.03625
20200415T1200,5.771239,273.57632
20200415T1300,3.671294,281.30994
20200415T1400,2.9024127,277.125
20200415T1500,3.7064266,299.0546
20200415T1600,3.319036,319.3987
20200415T1700,3.096837,324.46234
20200415T1800,2.9024127,277.125
20200415T1900,4.0249224,243.43495
20200415T2000,7.10031,30.465546
20200415T2100,4.0249224,10.30484
20200415T2200,1.835647,258.69006
20200415T2300,4.1046314,254.74487
20200416T0000,5.771239,266.42368
20200416T0100,7.5685663,272.72632
20200416T0200,7.5685663,267.27368
20200416T0300,6.924738,261.02737
20200416T0400,5.4119864,266.1859
20200416T0500,4.379589,279.46234
20200416T0600,2.7416782,293.1986
20200416T0700,1.9386592,291.8014
20200416T0800,3.9763298,5.194412
20200416T0900,4.6800003,22.619858
20200416T1000,7.42159,22.833649
20200416T1100,9.826088,28.442917
20200416T1200,9.387651,32.47119
20200416T1300,9.885262,33.111343
20200416T1400,8.404285,43.264297
20200416T1500,6.9247384,62.102737
20200416T1600,5.2416787,74.054596
20200416T1700,5.3999996,53.130096
20200416T1800,6.489992,56.30993
20200416T1900,7.8954163,65.772255
20200416T2000,9.449572,40.364532
20200416T2100,7.729527,62.241455
20200416T2200,5.8603754,79.38034
20200416T2300,5.4477882,82.40536
20200417T0000,3.219938,63.43495
20200417T0100,1.9386592,21.801407
20200417T0200,1.835647,348.69006
20200417T0300,2.5959969,326.30994
20200417T0400,3.7064266,299.0546
20200417T0500,4.3349743,274.76364
20200417T0600,4.73506,261.25385
20200417T0700,5.8603754,259.38034
20200417T0800,2.3051248,321.3402
20200417T0900,4.896529,17.102722
20200417T1000,5.495161,31.607498
20200417T1100,4.6938257,57.5288
20200417T1200,4.68,89.99999
20200417T1300,4.32,89.99999
20200417T1400,5.0528407,94.08562
20200417T1500,5.6920996,108.434944
20200417T1600,8.217153,118.81079
20200417T1700,10.464797,116.56505
20200417T1800,11.113451,114.90476
20200417T1900,11.620809,106.1892
