location,Zotola,Zotola
lat,20.56911,20.56911
lon,-98.80593,-98.80593
asl,1616.579,1616.579
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Zotola Wind Speed [80 m],Zotola Wind Direction [80 m]
20200414T0000,4.6938257,57.5288
20200414T0100,1.4399999,360.0
20200414T0200,3.9763298,275.19443
20200414T0300,5.2416787,254.0546
20200414T0400,5.3517847,227.72632
20200414T0500,6.28713,203.62938
20200414T0600,7.42159,194.03624
20200414T0700,10.308831,167.90524
20200414T0800,11.440979,155.85446
20200414T0900,10.086427,145.1755
20200414T1000,5.937272,165.96376
20200414T1100,1.8,233.1301
20200414T1200,6.1305785,319.76367
20200414T1300,13.009903,345.57922
20200414T1400,17.377226,13.172546
20200414T1500,20.88,46.397186
20200414T1600,16.418526,52.125
20200414T1700,21.434364,60.851913
20200414T1800,19.813087,65.29757
20200414T1900,18.359999,61.92749
20200414T2000,16.923828,60.708633
20200414T2100,17.373497,55.980644
20200414T2200,17.22742,63.970406
20200414T2300,16.299694,59.4703
20200415T0000,14.113652,52.25319
20200415T0100,11.808878,52.431404
20200415T0200,11.304229,52.76516
20200415T0300,10.799999,53.130096
20200415T0400,9.0,53.130096
20200415T0500,8.4963045,53.61563
20200415T0600,6.6087217,60.64225
20200415T0700,10.233123,50.7106
20200415T0800,9.178235,78.69006
20200415T0900,10.1376915,83.8845
20200415T1000,10.239453,79.87532
20200415T1100,14.021525,60.802513
20200415T1200,18.388212,66.94869
20200415T1300,25.872454,68.79077
20200415T1400,27.609911,67.782394
20200415T1500,26.727423,62.74466
20200415T1600,26.242987,63.083435
20200415T1700,28.496904,63.758644
20200415T1800,27.532352,62.764854
20200415T1900,25.44566,64.88516
20200415T2000,14.039999,67.38013
20200415T2100,12.144331,78.023865
20200415T2200,11.119281,60.945396
20200415T2300,8.669949,41.63353
20200416T0000,5.95906,25.016876
20200416T0100,4.6800003,22.619858
20200416T0200,1.8,36.86989
20200416T0300,1.1384199,108.434944
20200416T0400,1.5273507,135.0
20200416T0500,1.484318,104.03624
20200416T0600,2.6208394,105.9454
20200416T0700,3.2599385,96.34019
20200416T0800,5.4833565,113.19859
20200416T0900,1.609969,116.56505
20200416T1000,3.563818,44.999985
20200416T1100,6.9247384,27.897263
20200416T1200,11.043261,19.025604
20200416T1300,13.891522,31.218384
20200416T1400,10.883676,55.784294
20200416T1500,12.819235,51.842773
20200416T1600,11.681987,56.30993
20200416T1700,10.787993,64.29004
20200416T1800,7.968939,71.56504
20200416T1900,6.379216,73.61045
20200416T2000,12.496719,78.36636
20200416T2100,10.8955765,97.59464
20200416T2200,6.4799995,89.99999
20200416T2300,6.792466,57.994614
20200417T0000,5.7599998,360.0
20200417T0100,7.2,323.13013
20200417T0200,6.28713,293.6294
20200417T0300,3.8773184,291.8014
20200417T0400,1.1384199,288.43497
20200417T0500,0.35999998,360.0
20200417T0600,1.0182338,225.0
