location,Ayutla de los Libres,Ayutla de los Libres
lat,16.87565,16.87565
lon,-99.06353,-99.06353
asl,434.229,434.229
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Ayutla de los Libres Wind Speed [80 m],Ayutla de los Libres Wind Direction [80 m]
20200414T0000,4.6938252,355.60132
20200414T0100,5.771239,3.5763245
20200414T0200,6.519877,6.340164
20200414T0300,7.2,360.0
20200414T0400,5.771239,356.42368
20200414T0500,4.802999,347.00537
20200414T0600,4.0249224,333.43497
20200414T0700,6.12,360.0
20200414T0800,5.04,360.0
20200414T0900,3.671294,281.30994
20200414T1000,6.6087217,240.64226
20200414T1100,8.78872,214.99202
20200414T1200,11.269782,206.56505
20200414T1300,15.315873,209.57784
20200414T1400,15.990646,211.18497
20200414T1500,16.78156,215.3948
20200414T1600,16.375053,213.34071
20200414T1700,15.496736,210.73549
20200414T1800,12.397806,205.821
20200414T1900,9.028754,203.49857
20200414T2000,4.68,180.0
20200414T2100,3.319036,102.52881
20200414T2200,4.510787,61.38954
20200414T2300,3.096837,54.46232
20200415T0000,1.1384199,71.56504
20200415T0100,1.4399999,360.0
20200415T0200,3.2399998,360.0
20200415T0300,3.6179552,5.7105865
20200415T0400,4.3349743,355.23636
20200415T0500,5.8603754,349.38034
20200415T0600,5.771239,356.42368
20200415T0700,5.8603754,349.38034
20200415T0800,4.072935,44.999985
20200415T0900,3.0758414,200.55605
20200415T1000,4.6102495,231.3402
20200415T1100,6.9153743,218.65982
20200415T1200,10.00256,210.25644
20200415T1300,11.988594,221.34778
20200415T1400,14.565548,219.9869
20200415T1500,18.775303,212.47119
20200415T1600,18.388212,203.0513
20200415T1700,16.279802,198.03429
20200415T1800,11.659777,188.88066
20200415T1900,10.1376915,186.11551
20200415T2000,7.69592,169.2157
20200415T2100,6.638072,130.60129
20200415T2200,3.671294,101.30993
20200415T2300,1.8,53.130096
20200416T0000,2.7416782,66.8014
20200416T0100,4.510787,61.38954
20200416T0200,4.3349743,48.366455
20200416T0300,3.5455887,23.962494
20200416T0400,2.9024127,352.875
20200416T0500,2.0991426,329.03625
20200416T0600,1.8,306.8699
20200416T0700,1.1384199,251.56506
20200416T0800,5.0142193,68.96249
20200416T0900,3.671294,191.30994
20200416T1000,7.10031,210.46555
20200416T1100,9.178235,205.55997
20200416T1200,14.039999,202.61987
20200416T1300,16.610792,209.8989
20200416T1400,17.595861,210.76273
20200416T1500,18.58451,211.53479
20200416T1600,18.043148,208.61046
20200416T1700,18.35647,205.55997
20200416T1800,16.311613,202.03622
20200416T1900,13.450708,195.52411
20200416T2000,9.114471,189.09027
20200416T2100,5.1919937,123.69006
20200416T2200,4.68,89.99999
20200416T2300,1.484318,75.96376
20200417T0000,1.609969,296.56506
20200417T0100,4.379589,350.5377
20200417T0200,7.5170207,16.69925
20200417T0300,9.3876505,4.398697
20200417T0400,9.47012,351.25385
20200417T0500,10.182337,351.8699
20200417T0600,10.440001,360.0
20200417T0700,9.779817,6.340164
20200417T0800,7.6367526,8.130096
20200417T0900,5.315336,331.69925
20200417T1000,8.891344,291.37064
20200417T1100,11.304229,279.16235
20200417T1200,11.901798,266.53177
20200417T1300,14.512064,240.25513
20200417T1400,19.107151,227.29062
20200417T1500,20.633371,227.1211
20200417T1600,20.696087,229.93921
20200417T1700,21.142147,222.92996
20200417T1800,18.668005,219.52263
20200417T1900,14.693999,210.96376
20200417T2000,10.594036,189.78241
20200417T2100,5.991594,147.26477
20200417T2200,3.396233,122.00538
20200417T2300,0.8049845,206.56505
