location,Peñamiller,Peñamiller
lat,21.01065,21.01065
lon,-99.76167,-99.76167
asl,1503.008,1503.008
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Peñamiller Wind Speed [80 m],Peñamiller Wind Direction [80 m]
20200414T0000,14.20062,59.534447
20200414T0100,5.3999996,89.99999
20200414T0200,2.0991426,149.03624
20200414T0300,1.1384199,251.56506
20200414T0400,3.7585104,286.69925
20200414T0500,4.829907,296.56506
20200414T0600,5.937272,284.03625
20200414T0700,7.5170207,286.69925
20200414T0800,7.42159,284.03625
20200414T0900,5.937272,284.03625
20200414T1000,5.0911684,278.1301
20200414T1100,3.2399998,270.0
20200414T1200,1.8,233.1301
20200414T1300,3.2599385,186.3402
20200414T1400,6.763786,154.79887
20200414T1500,18.532135,119.054596
20200414T1600,29.239891,94.23639
20200414T1700,38.37843,73.09484
20200414T1800,39.389984,71.89623
20200414T1900,34.292713,85.78583
20200414T2000,26.302181,87.6467
20200414T2100,27.038372,86.94712
20200414T2200,28.835976,87.137596
20200414T2300,26.168804,82.092834
20200415T0000,23.319553,81.11935
20200415T0100,21.434364,82.27817
20200415T0200,21.67487,85.23635
20200415T0300,20.06334,80.70669
20200415T0400,17.651016,78.231705
20200415T0500,17.026896,76.551384
20200415T0600,15.463244,77.905235
20200415T0700,15.905319,84.805565
20200415T0800,10.594036,80.21759
20200415T0900,14.759999,89.99999
20200415T1000,20.188908,86.93351
20200415T1100,21.897945,80.537674
20200415T1200,19.559633,96.34019
20200415T1300,23.157824,101.659294
20200415T1400,27.238941,97.59464
20200415T1500,32.399998,89.99999
20200415T1600,32.039997,89.99999
20200415T1700,34.627434,93.576324
20200415T1800,30.993471,92.662994
20200415T1900,27.009598,91.52753
20200415T2000,31.845251,84.1605
20200415T2100,30.861471,73.044685
20200415T2200,23.749088,75.96376
20200415T2300,19.242327,72.58202
20200416T0000,12.287555,84.95755
20200416T0100,12.620554,93.27049
20200416T0200,11.183201,93.69138
20200416T0300,9.3669195,92.2026
20200416T0400,6.519877,96.34019
20200416T0500,4.802999,102.99461
20200416T0600,1.9386592,111.80141
20200416T0700,0.71999997,180.0
20200416T0800,7.92,89.99999
20200416T0900,7.072878,104.74355
20200416T1000,6.725354,105.5241
20200416T1100,8.891344,111.37062
20200416T1200,13.441071,110.376434
20200416T1300,18.947083,104.30027
20200416T1400,24.933735,94.96974
20200416T1500,27.74103,87.76882
20200416T1600,31.37168,86.71075
20200416T1700,35.33506,81.20946
20200416T1800,34.417206,74.21924
