location,Abasolo,Abasolo
lat,20.33322,20.33322
lon,-101.71875,-101.71875
asl,1721.108,1721.108
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Abasolo Wind Speed [80 m],Abasolo Wind Direction [80 m]
20200414T0000,13.339445,266.90594
20200414T0100,11.542478,266.42368
20200414T0200,10.1376915,263.8845
20200414T0300,8.759178,260.5377
20200414T0400,7.8625183,254.0546
20200414T0500,6.28713,246.37064
20200414T0600,4.39436,235.00798
20200414T0700,1.835647,168.69006
20200414T0800,1.9386592,158.1986
20200414T0900,1.609969,153.43495
20200414T1000,1.484318,194.03624
20200414T1100,3.8939953,213.69006
20200414T1200,6.489992,213.69006
20200414T1300,8.714677,218.29016
20200414T1400,11.457958,226.27303
20200414T1500,12.387348,234.46233
20200414T1600,12.24,241.92752
20200414T1700,12.979984,250.55997
20200414T1800,17.654686,253.41266
20200414T1900,19.9954,256.46414
20200414T2000,18.079027,257.34744
20200414T2100,20.858265,248.7495
20200414T2200,22.553934,245.48035
20200414T2300,19.483284,242.488
20200415T0000,14.512064,240.25513
20200415T0100,10.685391,237.38075
20200415T0200,7.653705,228.81409
20200415T0300,5.0142193,201.0375
20200415T0400,4.68,180.0
20200415T0500,4.73506,171.25385
20200415T0600,4.452954,165.96376
20200415T0700,2.7416782,156.8014
20200415T0800,4.5536795,198.43495
20200415T0900,1.4399999,180.0
20200415T1000,1.2979984,146.30994
20200415T1100,2.1897945,189.46233
20200415T1200,5.0911684,225.0
20200415T1300,7.7879906,236.30994
20200415T1400,9.585739,235.71313
20200415T1500,10.685391,237.38075
20200415T1600,11.269782,243.43495
20200415T1700,12.43434,247.89056
20200415T1800,14.24163,249.27444
20200415T1900,17.076298,251.56506
20200415T2000,15.158522,265.91437
20200415T2100,16.179985,249.14554
20200415T2200,13.397612,239.30028
20200415T2300,10.685391,237.38075
20200416T0000,9.085988,236.30994
20200416T0100,6.9153743,231.3402
20200416T0200,4.829907,206.56505
20200416T0300,4.3349743,184.76364
20200416T0400,3.96,180.0
20200416T0500,3.6179552,174.28941
20200416T0600,3.5455887,156.0375
20200416T0700,3.096837,144.46231
20200416T0800,4.0249224,190.30484
20200416T0900,2.9024127,172.87498
20200416T1000,3.0758414,159.44395
20200416T1100,3.671294,168.69006
20200416T1200,5.1544156,192.09476
20200416T1300,6.9247384,207.89728
20200416T1400,7.9932966,215.83765
20200416T1500,8.654987,225.0
20200416T1600,9.585739,235.71313
20200416T1700,9.983106,244.359
20200416T1800,9.904906,250.90651
20200416T1900,10.739833,256.42957
20200416T2000,20.16,270.0
20200416T2100,19.523155,264.70993
