location,El Nuevo Mercurio,El Nuevo Mercurio
lat,24.33321,24.33321
lon,-102.18750,-102.18750
asl,1852.524,1852.524
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Nuevo Mercurio Wind Speed [80 m],El Nuevo Mercurio Wind Direction [80 m]
20200414T0000,22.148046,225.65854
20200414T0100,21.986542,230.31454
20200414T0200,18.079027,234.72757
20200414T0300,12.387348,234.46233
20200414T0400,7.9932966,234.16235
20200414T0500,5.3999996,216.8699
20200414T0600,5.1544156,192.09476
20200414T0700,7.2,216.8699
20200414T0800,6.696387,216.25385
20200414T0900,6.193674,215.53769
20200414T1000,3.319036,220.6013
20200414T1100,4.452954,255.96376
20200414T1200,5.771239,266.42368
20200414T1300,6.379216,253.61046
20200414T1400,7.9036193,239.93141
20200414T1500,9.339208,242.44719
20200414T1600,10.30883,245.22485
20200414T1700,11.503113,249.86371
20200414T1800,12.313893,254.74487
20200414T1900,12.6462,265.10092
20200414T2000,13.37825,293.80597
20200414T2100,11.885453,324.8658
20200414T2200,6.9899354,348.11133
20200414T2300,3.0758414,20.556046
20200415T0000,2.7416782,113.19859
20200415T0100,5.8048253,150.25511
20200415T0200,9.0,163.73979
20200415T0300,12.496719,168.36636
20200415T0400,13.722565,175.48601
20200415T0500,14.404499,181.4321
20200415T0600,14.113653,185.85602
20200415T0700,14.869351,186.95296
20200415T0800,16.039202,170.96051
20200415T0900,12.303366,159.44395
20200415T1000,10.086427,177.95459
20200415T1100,8.891343,211.75949
20200415T1200,11.792404,238.73627
20200415T1300,14.578888,249.77515
20200415T1400,17.208603,254.21925
20200415T1500,19.35314,260.36246
20200415T1600,19.917469,263.77417
20200415T1700,21.2522,268.05853
20200415T1800,20.883104,269.01224
20200415T1900,18.844202,276.58194
20200415T2000,10.805999,1.9091492
20200415T2100,9.255571,13.495728
20200415T2200,7.42159,22.833649
20200415T2300,5.495161,31.607498
