location,Álvaro Obregón,Álvaro Obregón
lat,18.27971,18.27971
lon,-88.62193,-88.62193
asl,32.946,32.946
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Álvaro Obregón Wind Speed [80 m],Álvaro Obregón Wind Direction [80 m]
20200414T0000,18.345877,105.9454
20200414T0100,18.861387,103.240524
20200414T0200,20.275385,106.50436
20200414T0300,20.724247,107.1759
20200414T0400,20.870687,104.99507
20200414T0500,20.240196,95.10216
20200414T0600,16.919998,89.99999
20200414T0700,17.163355,99.65989
20200414T0800,19.562946,102.75753
20200414T0900,20.696085,103.06931
20200414T1000,22.35481,104.93142
20200414T1100,22.314194,107.85032
20200414T1200,21.862406,107.241455
20200414T1300,22.104116,106.07356
20200414T1400,22.79684,105.57254
20200414T1500,24.014996,102.99461
20200414T1600,24.288662,101.97613
20200414T1700,24.64094,101.80243
20200414T1800,24.36591,102.80426
20200414T1900,23.233253,102.52881
20200414T2000,22.314192,100.22216
20200414T2100,20.008356,98.27589
20200414T2200,18.72346,91.1017
20200414T2300,18.374111,92.245735
20200415T0000,17.015474,96.07246
20200415T0100,16.09969,100.30484
20200415T0200,15.978486,104.34933
20200415T0300,13.698934,93.01279
20200415T0400,12.599999,89.99999
20200415T0500,11.090103,76.86598
20200415T0600,10.464797,63.43495
20200415T0700,13.202726,78.99645
20200415T0800,14.118243,109.35899
20200415T0900,18.214718,108.434944
20200415T1000,18.1041,107.35402
20200415T1100,16.766108,104.93142
20200415T1200,15.192682,103.70696
20200415T1300,15.03835,101.04093
20200415T1400,16.65754,96.203445
20200415T1500,19.8,89.99999
20200415T1600,20.5484,86.98721
20200415T1700,20.633371,83.99099
20200415T1800,20.633371,83.99099
20200415T1900,20.240196,84.897835
20200415T2000,26.124195,101.92932
20200415T2100,24.442911,99.323586
20200415T2200,20.188908,93.06648
20200415T2300,16.215992,92.5448
20200416T0000,12.287555,95.04245
20200416T0100,9.422101,96.58194
20200416T0200,9.47012,98.74616
20200416T0300,10.105681,94.08562
20200416T0400,9.746631,94.23639
20200416T0500,7.968939,71.56504
20200416T0600,10.514218,51.95294
20200416T0700,12.096214,53.47113
20200416T0800,9.793059,36.027374
20200416T0900,11.384199,71.56504
20200416T1000,15.119999,89.99999
20200416T1100,20.478907,100.124664
20200416T1200,22.608458,99.162346
20200416T1300,24.717085,102.61932
20200416T1400,23.313995,103.392494
20200416T1500,23.863409,101.30993
20200416T1600,24.288662,101.97613
20200416T1700,24.717085,102.61932
20200416T1800,24.288662,101.97613
20200416T1900,22.805367,101.84207
20200416T2000,21.322214,101.68936
20200416T2100,18.844202,96.58194
20200416T2200,17.283749,91.19349
20200416T2300,16.595179,93.73139
20200417T0000,16.75064,98.652534
20200417T0100,18.079027,102.65255
20200417T0200,18.214718,108.434944
20200417T0300,15.937878,108.434944
20200417T0400,14.685176,101.30993
20200417T0500,13.698934,93.01279
20200417T0600,14.113653,84.143974
20200417T0700,14.05845,87.06432
20200417T0800,14.587776,105.75117
20200417T0900,22.086521,109.025604
20200417T1000,22.104116,106.07356
20200417T1100,23.683512,109.53665
20200417T1200,24.735432,111.33685
20200417T1300,25.282152,109.9831
20200417T1400,25.96496,106.92751
20200417T1500,26.459389,104.981636
20200417T1600,25.932495,103.65041
20200417T1700,26.019806,104.42077
20200417T1800,25.516865,106.38954
20200417T1900,23.863409,101.30993
20200417T2000,23.219301,97.125015
20200417T2100,20.598795,84.986885
20200417T2200,18.228943,80.90972
20200417T2300,16.575644,87.510445
20200418T0000,14.404499,88.5679
20200418T0100,13.684735,91.50743
20200418T0200,13.004921,94.76365
20200418T0300,12.783802,99.72758
20200418T0400,12.224107,103.62699
20200418T0500,10.495713,112.16634
20200418T0600,10.163227,112.9321
20200418T0700,11.090103,103.13402
20200418T0800,13.1041975,110.9245
20200418T0900,21.413193,116.995834
20200418T1000,21.746502,109.3348
20200418T1100,23.933907,111.161255
20200418T1200,25.282152,109.9831
20200418T1300,26.758923,109.653824
20200418T1400,26.64,108.92464
20200418T1500,26.64,108.92464
20200418T1600,25.729298,107.92791
20200418T1700,25.277023,107.4027
20200418T1800,24.975283,105.03781
20200418T1900,23.749088,104.03624
20200418T2000,24.087738,99.46232
20200418T2100,22.007162,93.751724
20200418T2200,20.188908,93.06648
