location,Armadillo de los Infante,Armadillo de los Infante
lat,22.33321,22.33321
lon,-100.78125,-100.78125
asl,1821.990,1821.990
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Armadillo de los Infante Wind Speed [80 m],Armadillo de los Infante Wind Direction [80 m]
20200414T0000,12.413476,106.8584
20200414T0100,9.346143,105.64224
20200414T0200,6.638072,102.52881
20200414T0300,4.73506,98.74616
20200414T0400,2.6208394,105.9454
20200414T0500,0.35999998,89.99999
20200414T0600,1.8,270.0
20200414T0700,5.04,270.0
20200414T0800,6.638072,282.5288
20200414T0900,6.489992,289.44003
20200414T1000,4.0249224,296.56506
20200414T1100,1.8,323.13013
20200414T1200,0.35999998,180.0
20200414T1300,3.6179552,174.28941
20200414T1400,7.92,180.0
20200414T1500,10.538843,172.14668
20200414T1600,12.57426,156.37062
20200414T1700,19.008545,127.30394
20200414T1800,30.599998,115.05762
20200414T1900,40.57952,111.32946
20200414T2000,29.714724,109.09349
20200414T2100,27.416782,103.6713
20200414T2200,22.553936,98.25943
20200414T2300,17.81909,98.1301
20200415T0000,14.471821,95.71059
20200415T0100,13.363711,94.63546
20200415T0200,13.397612,96.17017
20200415T0300,14.154915,97.305756
20200415T0400,13.556282,100.71312
20200415T0500,13.358861,104.03624
20200415T0600,12.522619,108.434944
20200415T0700,13.049689,114.44395
20200415T0800,11.113451,114.90476
20200415T0900,11.298495,120.650665
20200415T1000,13.479583,124.11447
20200415T1100,15.277749,124.43899
20200415T1200,16.055355,132.27368
20200415T1300,17.057314,135.8551
20200415T1400,18.35647,131.82016
20200415T1500,22.077717,114.05734
20200415T1600,23.749088,104.03624
20200415T1700,24.149532,100.30484
20200415T1800,20.545246,101.11304
20200415T1900,21.485697,98.67317
20200415T2000,23.277834,121.7236
20200415T2100,20.037485,107.78389
20200415T2200,15.463244,102.09476
20200415T2300,12.7279215,98.1301
20200416T0000,9.3669195,92.2026
20200416T0100,9.3876505,94.398705
20200416T0200,9.028754,94.57392
20200416T0300,8.707238,97.125015
20200416T0400,7.69592,100.784294
20200416T0500,7.172949,107.52557
20200416T0600,7.0911775,113.96249
20200416T0700,6.489992,123.69006
20200416T0800,6.6087217,119.35774
20200416T0900,7.653705,131.18591
20200416T1000,9.726664,128.991
20200416T1100,11.609651,119.74488
20200416T1200,12.57426,113.62937
20200416T1300,13.854155,114.56717
20200416T1400,12.24,118.07248
20200416T1500,14.24163,110.725555
20200416T1600,19.386591,105.06849
20200416T1700,23.675303,98.74616
