location,Atlangatepec,Atlangatepec
lat,19.55228,19.55228
lon,-98.16936,-98.16936
asl,2606.829,2606.829
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Atlangatepec Wind Speed [80 m],Atlangatepec Wind Direction [80 m]
20200414T0000,28.1169,177.06433
20200414T0100,20.880001,180.0
20200414T0200,16.215992,182.5448
20200414T0300,14.205182,188.74615
20200414T0400,13.797913,195.12401
20200414T0500,15.315873,209.57784
20200414T0600,17.174677,213.02386
20200414T0700,16.800856,225.0
20200414T0800,15.03835,227.91084
20200414T0900,12.496718,221.49648
20200414T1000,13.0447235,207.97948
20200414T1100,14.039999,202.61987
20200414T1200,14.372974,202.0679
20200414T1300,16.055353,199.65382
20200414T1400,17.076298,198.43495
20200414T1500,19.353138,198.43495
20200414T1600,20.380579,197.47478
20200414T1700,22.007162,195.17291
20200414T1800,24.014996,192.99461
20200414T1900,25.325686,185.71059
20200414T2000,23.4,180.0
20200414T2100,22.253124,170.69006
20200414T2200,22.881956,167.27565
20200414T2300,23.219301,172.87498
20200415T0000,18.532133,172.18471
20200415T0100,17.771753,173.01894
20200415T0200,15.119999,180.0
20200415T0300,9.47012,188.74615
20200415T0400,2.8799999,180.0
20200415T0500,3.8939953,56.30993
20200415T0600,7.9036193,59.93141
20200415T0700,5.6920996,71.56504
20200415T0800,8.759178,80.537674
20200415T0900,9.36,89.99999
20200415T1000,11.177405,104.93142
20200415T1100,11.770403,113.42869
20200415T1200,12.229406,132.61406
20200415T1300,14.707222,158.45901
20200415T1400,18.72346,181.1017
20200415T1500,20.478907,190.12466
20200415T1600,21.862406,197.24146
20200415T1700,25.501621,198.9465
20200415T1800,25.96496,196.92752
20200415T1900,27.959742,191.88866
20200415T2000,13.896187,143.42697
20200415T2100,10.086427,145.1755
20200415T2200,11.298495,149.34933
20200415T2300,17.287498,148.627
20200416T0000,17.654688,140.7928
20200416T0100,15.937878,161.56505
20200416T0200,12.979984,176.82018
20200416T0300,11.159999,180.0
20200416T0400,11.165805,178.15239
20200416T0500,12.245294,178.31532
20200416T0600,11.792404,192.33908
20200416T0700,12.904882,202.98872
20200416T0800,7.5942073,185.44034
20200416T0900,7.5599995,180.0
20200416T1000,9.885262,190.49147
20200416T1100,9.885262,190.49147
20200416T1200,8.4042845,189.86581
20200416T1300,9.255571,193.49573
20200416T1400,12.313893,195.25513
20200416T1500,15.978486,194.34933
20200416T1600,17.163355,189.6599
20200416T1700,17.28,180.0
20200416T1800,18.751125,176.69814
