location,Samahil,Samahil
lat,20.91842,20.91842
lon,-89.89272,-89.89272
asl,12.776,12.776
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Samahil Wind Speed [80 m],Samahil Wind Direction [80 m]
20200414T0000,13.397612,83.82981
20200414T0100,16.279802,108.03428
20200414T0200,18.709612,120.01836
20200414T0300,20.883102,125.88214
20200414T0400,21.252197,128.81139
20200414T0500,21.986542,129.68546
20200414T0600,21.38897,133.63608
20200414T0700,21.915691,137.663
20200414T0800,22.26477,140.90614
20200414T0900,22.768396,145.30484
20200414T1000,20.68356,148.52316
20200414T1100,19.08,148.1092
20200414T1200,16.75064,151.78264
20200414T1300,13.089354,148.49573
20200414T1400,11.435313,151.82141
20200414T1500,8.557102,157.75098
20200414T1600,1.08,180.0
20200414T1700,17.31746,339.30457
20200414T1800,19.48661,348.2749
20200414T1900,17.106628,351.52887
20200414T2000,15.84409,358.69806
20200414T2100,13.910169,10.437485
20200414T2200,10.630672,28.30075
20200414T2300,8.78872,55.007973
20200415T0000,10.08,89.99999
20200415T0100,14.77755,124.077194
20200415T0200,19.09358,134.2361
20200415T0300,20.12461,132.82526
20200415T0400,19.35314,136.50743
20200415T0500,18.626305,138.91824
20200415T0600,18.626305,138.91824
20200415T0700,20.240198,141.49934
20200415T0800,15.941944,154.59229
20200415T0900,15.484185,162.40758
20200415T1000,12.324414,173.29016
20200415T1100,9.726665,182.1211
20200415T1200,5.95906,205.01689
20200415T1300,5.00128,239.74356
20200415T1400,5.4477882,277.59464
20200415T1500,10.685391,327.38077
20200415T1600,16.92383,336.16125
20200415T1700,18.892282,329.03625
20200415T1800,17.555307,331.8584
20200415T1900,17.533146,340.82098
20200415T2000,16.981165,355.1355
20200415T2100,15.315873,23.552261
20200415T2200,14.255272,44.999985
20200415T2300,13.584932,57.994614
20200416T0000,11.440979,65.854454
20200416T0100,10.137692,73.495636
20200416T0200,9.107359,71.56504
20200416T0300,9.0,73.73979
20200416T0400,10.182337,81.869896
20200416T0500,10.805999,88.09084
20200416T0600,11.252519,97.35238
20200416T0700,11.119281,119.054596
20200416T0800,6.193674,125.537674
20200416T0900,7.8954163,133.15239
20200416T1000,8.161764,138.57634
20200416T1100,6.3690495,132.70938
20200416T1200,4.0249224,116.56505
20200416T1300,2.52,89.99999
20200416T1400,3.6,36.86989
20200416T1500,14.4,360.0
20200416T1600,22.392462,4.6106415
20200416T1700,21.322214,11.689362
20200416T1800,21.068459,19.983109
20200416T1900,22.288042,31.122467
20200416T2000,21.817902,37.626236
20200416T2100,20.633371,47.121094
20200416T2200,19.008545,52.696053
20200416T2300,16.78156,67.28559
20200417T0000,14.799459,85.81509
20200417T0100,14.917212,98.32565
20200417T0200,16.1198,113.702644
