location,Santa María del Oro,Santa María del Oro
lat,26.33321,26.33321
lon,-105.00000,-105.00000
asl,1700.028,1700.028
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Santa María del Oro Wind Speed [80 m],Santa María del Oro Wind Direction [80 m]
20200414T0000,17.238699,331.29407
20200414T0100,11.841756,340.46335
20200414T0200,4.896529,342.89728
20200414T0300,1.609969,243.43495
20200414T0400,5.3999996,216.8699
20200414T0500,6.8777895,222.8789
20200414T0600,6.9153743,231.3402
20200414T0700,6.87779,263.991
20200414T0800,6.9899354,258.11133
20200414T0900,7.42159,255.96376
20200414T1000,5.1544156,257.90524
20200414T1100,3.2599385,6.340164
20200414T1200,6.8777895,47.121094
20200414T1300,7.5170207,73.30075
20200414T1400,7.69592,100.784294
20200414T1500,7.289445,122.90524
20200414T1600,5.991594,147.26477
20200414T1700,5.495161,148.3925
20200414T1800,6.696387,126.25384
20200414T1900,14.154915,97.305756
20200414T2000,25.959969,86.82017
20200414T2100,33.497414,88.15238
20200414T2200,32.44996,93.179825
20200414T2300,25.2924,94.899086
20200415T0000,13.324863,91.54815
20200415T0100,6.924738,81.02737
20200415T0200,3.6,53.130096
20200415T0300,2.9024127,29.744873
20200415T0400,2.4149535,26.565033
20200415T0500,2.0991426,59.036232
20200415T0600,2.52,89.99999
20200415T0700,4.1046314,105.25512
20200415T0800,10.931203,72.75854
20200415T0900,9.793058,72.89727
20200415T1000,8.089993,69.14554
20200415T1100,8.766573,70.820984
20200415T1200,10.308831,77.905235
20200415T1300,9.826088,81.57303
20200415T1400,6.8399997,89.99999
20200415T1500,3.9763298,95.19443
20200415T1600,1.835647,101.30993
20200415T1700,4.379589,80.537674
20200415T1800,10.239453,79.87532
20200415T1900,19.35314,80.362465
20200415T2000,16.575644,124.38034
20200415T2100,23.664352,123.20657
20200415T2200,21.566973,123.42481
20200415T2300,15.379206,122.57405
20200416T0000,10.315115,119.248825
20200416T0100,7.24486,116.56505
20200416T0200,4.6102495,128.6598
20200416T0300,2.7416782,156.8014
20200416T0400,1.8,180.0
20200416T0500,1.2979984,213.69006
20200416T0600,1.609969,243.43495
20200416T0700,2.8116899,230.19443
20200416T0800,3.5455887,66.037506
20200416T0900,2.5455842,81.869896
20200416T1000,2.968636,75.96376
20200416T1100,4.3498964,65.55604
20200416T1200,6.130579,86.63353
20200416T1300,6.725354,105.5241
20200416T1400,6.9153743,128.6598
20200416T1500,6.12,151.9275
20200416T1600,6.130579,183.36646
20200416T1700,4.5536795,198.43495
20200416T1800,3.319036,192.52881
20200416T1900,3.7064266,119.054596
20200416T2000,21.03152,96.881714
20200416T2100,23.623243,97.883125
20200416T2200,19.93048,106.79836
20200416T2300,12.879752,116.56505
20200417T0000,8.14587,135.0
20200417T0100,6.151683,159.44395
20200417T0200,5.4119864,183.81407
20200417T0300,5.8048253,209.74489
20200417T0400,6.8777895,222.8789
20200417T0500,7.6367526,225.0
20200417T0600,8.669949,228.36647
20200417T0700,9.1641035,225.0
20200417T0800,8.435069,230.19443
20200417T0900,8.435069,230.19443
20200417T1000,8.404285,223.2643
20200417T1100,10.464797,220.8151
20200417T1200,11.457958,223.72697
20200417T1300,12.984975,223.87671
20200417T1400,16.563911,227.64255
20200417T1500,21.599998,233.1301
20200417T1600,27.666182,237.75754
20200417T1700,32.85678,237.52881
20200417T1800,39.541046,236.88866
20200417T1900,44.239006,235.27536
20200417T2000,19.469976,236.30994
20200417T2100,22.66857,237.31946
20200417T2200,27.859905,237.13132
20200417T2300,31.575506,241.38954
20200418T0000,32.535713,245.1363
20200418T0100,32.427986,247.1355
20200418T0200,29.68636,247.16635
20200418T0300,27.70831,245.43283
20200418T0400,26.729847,244.4703
20200418T0500,25.44566,244.88516
20200418T0600,23.18579,244.23068
20200418T0700,19.483284,242.488
20200418T0800,16.489416,233.88066
20200418T0900,11.183201,236.82149
20200418T1000,15.7908325,226.84761
20200418T1100,20.87379,225.0
20200418T1200,22.42427,222.39745
20200418T1300,23.950148,222.56335
20200418T1400,26.758923,227.72632
20200418T1500,30.312769,232.72183
20200418T1600,34.247337,236.14288
20200418T1700,36.79756,239.42078
20200418T1800,38.67278,241.04901
20200418T1900,39.47708,241.09764
20200418T2000,37.16902,248.4047
20200418T2100,33.3559,251.76059
20200418T2200,32.559605,251.96573
20200418T2300,32.10667,252.37772
20200419T0000,30.625402,252.20401
20200419T0100,27.558228,250.14479
20200419T0200,24.20314,247.24902
20200419T0300,19.33639,241.04901
20200419T0400,15.778516,235.22217
20200419T0500,12.538134,230.82635
20200419T0600,11.246759,230.19443
20200419T0700,11.304229,232.76517
20200419T0800,10.829958,248.55226
20200419T0900,8.854829,243.43495
20200419T1000,10.948973,242.59244
20200419T1100,12.57426,256.7595
20200419T1200,13.039754,263.65982
20200419T1300,14.05845,267.06433
20200419T1400,15.484185,268.6678
20200419T1500,15.84,270.0
20200419T1600,15.119999,270.0
20200419T1700,12.964998,271.59113
20200419T1800,11.542478,273.57632
20200419T1900,9.6932955,285.06848
20200419T2000,24.795612,295.82098
20200419T2100,25.43802,296.92767
20200419T2200,25.43802,296.92767
20200419T2300,25.284714,298.0245
20200420T0000,23.188583,297.75854
20200420T0100,17.25373,293.35556
20200420T0200,11.440978,282.72437
20200420T0300,8.311245,265.03027
20200420T0400,7.8954163,245.77226
20200420T0500,8.891343,238.24052
20200420T0600,9.19939,239.42078
20200420T0700,9.511088,240.52411
20200420T0800,5.3999996,270.0
20200420T0900,4.5536795,251.56506
20200420T1000,3.219938,243.43495
20200420T1100,1.5273507,225.0
20200420T1200,2.6208394,164.0546
20200420T1300,4.829907,153.43495
20200420T1400,6.0347,162.64597
20200420T1500,6.489992,176.82018
20200420T1600,5.8603754,190.61966
20200420T1700,4.6800003,202.61987
20200420T1800,3.7064266,209.05461
20200420T1900,2.5455842,135.0
20200420T2000,10.587918,54.68878
20200420T2100,11.91812,64.98311
20200420T2200,9.504273,65.37643
20200420T2300,5.3517847,42.27368
20200421T0000,7.072878,345.25644
20200421T0100,14.021525,330.80252
20200421T0200,18.043148,331.38956
20200421T0300,15.459054,332.24146
20200421T0400,10.587918,324.68878
20200421T0500,7.2,306.8699
20200421T0600,5.937272,284.03625
20200421T0700,6.4799995,270.0
20200421T0800,6.924738,261.02737
20200421T0900,7.42159,255.96376
20200421T1000,4.896529,252.89728
20200421T1100,9.107359,341.56506
20200421T1200,8.28,360.0
20200421T1300,4.0249224,26.565033
20200421T1400,1.835647,101.30993
20200421T1500,3.319036,167.47119
20200421T1600,5.0911684,188.1301
20200421T1700,5.2416787,195.9454
20200421T1800,5.1544156,192.09476
20200421T1900,4.1046314,142.12502
20200421T2000,9.36,89.99999
20200421T2100,10.308831,77.905235
20200421T2200,5.1919937,33.690063
20200421T2300,9.178235,334.44003
