location,Cahuapan,Cahuapan
lat,17.73744,17.73744
lon,-94.57403,-94.57403
asl,34.292,34.292
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Cahuapan Wind Speed [80 m],Cahuapan Wind Direction [80 m]
20200414T0000,11.525623,104.47029
20200414T0100,14.565548,129.98688
20200414T0200,15.379206,159.44395
20200414T0300,16.563911,181.24536
20200414T0400,23.565567,198.71173
20200414T0500,23.770906,215.13419
20200414T0600,20.883102,234.11786
20200414T0700,12.641076,199.98311
20200414T0800,8.534353,207.64598
20200414T0900,6.696387,216.25385
20200414T1000,9.1641035,225.0
20200414T1100,7.491114,234.78241
20200414T1200,5.3517847,227.72632
20200414T1300,1.2979984,213.69006
20200414T1400,1.4399999,89.99999
20200414T1500,8.913181,43.36342
20200414T1600,25.455843,28.739777
20200414T1700,27.257967,33.690063
20200414T1800,25.460936,33.465378
20200414T1900,21.794127,30.801437
20200414T2000,16.645864,21.57129
20200414T2100,17.298738,12.01149
20200414T2200,18.448023,5.5993347
20200414T2300,18.089775,5.7105865
20200415T0000,16.946787,12.2647705
20200415T0100,13.905509,21.250488
20200415T0200,8.39657,30.963745
20200415T0300,4.0249224,63.43495
20200415T0400,5.991594,122.73523
20200415T0500,9.449572,139.63547
20200415T0600,10.990322,148.3925
20200415T0700,5.3999996,143.1301
20200415T0800,8.4042845,189.86581
20200415T0900,7.5599995,180.0
20200415T1000,5.8048253,150.25511
20200415T1100,4.379589,80.537674
20200415T1200,6.28713,23.629364
20200415T1300,10.308831,12.094757
20200415T1400,16.09969,10.30484
20200415T1500,23.749088,14.03624
20200415T1600,29.427658,14.886261
20200415T1700,32.789658,19.230667
20200415T1800,33.834255,20.556046
20200415T1900,34.152596,18.434952
20200415T2000,27.276978,22.503525
20200415T2100,23.749088,14.03624
20200415T2200,21.647945,3.8140564
20200415T2300,18.0,360.0
20200416T0000,12.959999,360.0
20200416T0100,8.64,360.0
20200416T0200,6.725354,344.4759
20200416T0300,5.4833565,336.8014
20200416T0400,5.6920996,341.56506
20200416T0500,7.5685663,357.2737
20200416T0600,10.464798,3.9451752
20200416T0700,12.964998,1.5911255
20200416T0800,6.519877,276.34018
20200416T0900,5.6233797,320.19443
20200416T1000,8.049845,349.69516
20200416T1100,10.8955765,352.40536
20200416T1200,13.084402,352.09283
20200416T1300,15.273505,351.8699
20200416T1400,17.654688,2.3372803
20200416T1500,21.2522,10.738892
20200416T1600,27.558228,19.85521
20200416T1700,31.353088,21.557083
20200416T1800,31.404713,25.096252
20200416T1900,31.237131,27.451004
20200416T2000,26.886963,26.221954
20200416T2100,23.34455,26.565033
20200416T2200,21.129885,23.070404
20200416T2300,17.87718,25.016876
20200417T0000,15.778518,27.149673
20200417T0100,14.48972,26.565033
20200417T0200,12.57426,23.629364
20200417T0300,12.864649,17.927917
20200417T0400,13.138765,9.462311
20200417T0500,11.879999,360.0
20200417T0600,11.304229,350.83765
20200417T0700,10.30883,335.22485
20200417T0800,9.0645685,263.15723
20200417T0900,5.8603754,259.38034
20200417T1000,1.8,270.0
20200417T1100,1.1384199,71.56504
20200417T1200,3.8773184,68.19859
20200417T1300,5.4833565,66.8014
20200417T1400,6.9527545,68.7495
20200417T1500,9.793059,53.97262
20200417T1600,18.709612,30.018356
20200417T1700,27.897097,19.60408
20200417T1800,26.407907,27.613022
20200417T1900,27.105392,30.311203
20200417T2000,22.682856,35.96051
20200417T2100,22.104116,37.05652
20200417T2200,16.595179,40.601288
20200417T2300,8.587338,56.976128
20200418T0000,1.4399999,89.99999
20200418T0100,3.7064266,209.05461
20200418T0200,3.7064266,209.05461
20200418T0300,1.484318,194.03624
20200418T0400,2.1897945,260.5377
20200418T0500,3.2599385,263.65982
20200418T0600,3.7064266,240.9454
20200418T0700,3.7064266,209.05461
20200418T0800,6.9899354,191.88866
20200418T0900,11.165805,181.84761
20200418T1000,14.561099,188.53076
20200418T1100,17.992796,199.88516
20200418T1200,18.043148,208.61046
20200418T1300,16.1198,209.42746
20200418T1400,15.629971,208.92642
20200418T1500,14.168641,207.21611
20200418T1600,11.435313,208.17859
20200418T1700,5.4833565,246.8014
20200418T1800,14.404499,1.4320831
20200418T1900,20.617662,12.094757
20200418T2000,14.578888,20.224854
20200418T2100,10.041354,14.534454
20200418T2200,7.968939,341.56506
