location,Nueva Baja California,Nueva Baja California
lat,30.99987,30.99987
lon,-116.25,-116.25
asl,195.257,195.257
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Nueva Baja California Wind Speed [80 m],Nueva Baja California Wind Direction [80 m]
20200416T0000,6.489992,236.30994
20200416T0100,5.634891,243.43495
20200416T0200,4.0249224,259.69516
20200416T0300,4.0249224,280.30487
20200416T0400,3.8773184,291.8014
20200416T0500,2.7416782,246.8014
20200416T0600,2.5455842,261.8699
20200416T0700,2.16,270
20200416T0800,1.8,270
20200416T0900,4.802999,257.00537
20200416T1000,9.779817,263.65982
20200416T1100,13.493999,260.78897
20200416T1200,16.595179,257.4712
20200416T1300,20.724247,252.8241
20200416T1400,22.66857,249.55045
20200416T1500,25.0064,247.12634
20200416T1600,25.12016,244.53665
20200416T1700,24.023088,240.36162
20200416T1800,20.172853,235.1755
20200416T1900,18.218275,232.22432
20200416T2000,16.363178,230.35583
20200416T2100,12.738099,222.7094
20200416T2200,10.383987,213.69006
20200416T2300,8.854829,206.56505
20200417T0000,7.42159,202.83365
20200417T0100,5.815978,201.8014
20200417T0200,4.6800003,202.61987
20200417T0300,4.0249224,206.56505
20200417T0400,2.9024127,209.74489
20200417T0500,5.3999996,233.1301
20200417T0600,5.1165614,230.7106
20200417T0700,5.0911684,225
20200417T0800,5.3517847,222.27368
20200417T0900,10.00256,239.74356
20200417T1000,13.363711,242.74467
20200417T1100,17.399586,245.55606
20200417T1200,19.66536,246.2505
20200417T1300,22.057161,243.85316
20200417T1400,21.749483,241.31384
20200417T1500,23.847115,241.11342
20200417T1600,22.728518,240.59282
20200417T1700,22.218153,243.01978
20200417T1800,18.782204,257.82855
20200417T1900,19.959719,262.74683
20200417T2000,17.698677,265.33313
20200417T2100,14.759999,270
20200417T2200,11.885453,268.26428
20200417T2300,12.682018,263.4802
20200418T0000,11.792404,257.66092
20200418T0100,11.27553,253.30075
20200418T0200,9.904906,250.90651
20200418T0300,8.766573,250.82098
20200418T0400,8.891344,248.62938
20200418T0500,10.30883,245.22485
20200418T0600,16.434305,298.8108
20200418T0700,15.137133,295.3462
20200418T0800,13.779114,289.85522
20200418T0900,14.973576,279.68878
20200418T1000,16.23596,273.8141
20200418T1100,18.0036,268.85425
20200418T1200,18.129137,263.15723
20200418T1300,18.998314,260.1807
20200418T1400,16.862455,253.8866
20200418T1500,17.654688,249.71744
20200418T1600,16.267857,245.1363
20200418T1700,16.58346,242.8787
20200418T1800,20.532627,267.99045
20200418T1900,18.03237,266.56638
20200418T2000,14.205182,261.25385
20200418T2100,13.138765,260.5377
20200418T2200,11.570515,264.64417
20200418T2300,11.159999,270
20200419T0000,10.086427,272.0454
20200419T0100,9.178235,281.30994
20200419T0200,6.725354,285.5241
20200419T0300,6.151683,290.55603
20200419T0400,4.198285,300.96378
20200419T0500,1.2979984,303.69006
20200419T0600,2.1897945,260.5377
20200419T0700,4.452954,255.96376
20200419T0800,4.452954,255.96376
20200419T0900,7.5685663,267.27368
20200419T1000,10.440001,270
20200419T1100,12.620554,266.7295
20200419T1200,13.138765,260.5377
20200419T1300,16.676977,256.26373
20200419T1400,17.418196,251.93953
20200419T1500,19.809813,250.90651
20200419T1600,19.33639,245.82089
20200419T1700,19.966211,244.359
20200419T1800,18.58451,248.4047
20200419T1900,17.193533,250.42688
20200419T2000,14.654254,242.1759
20200419T2100,12.261157,229.76364
20200419T2200,10.195057,222.1376
20200419T2300,8.404285,226.73572
20200420T0000,6.8777895,227.1211
20200420T0100,6.989936,235.49149
20200420T0200,7.24486,243.43495
20200420T0300,8.12197,257.19574
20200420T0400,8.707238,262.875
20200420T0500,9.36,270
20200420T0600,14.417988,272.8624
20200420T0700,11.874544,284.03625
20200420T0800,9.107359,288.43497
20200420T0900,10.24578,288.43494
20200420T1000,12.864649,287.92792
20200420T1100,16.09969,280.30487
20200420T1200,16.700275,277.4314
20200420T1300,18.775301,274.3987
20200420T1400,17.283749,271.19348
20200420T1500,18.733839,267.7974
20200420T1600,17.339897,265.23636
20200420T1700,16.343367,262.40536
20200420T1800,17.651016,258.23172
20200420T1900,17.163355,260.34012
20200420T2000,13.661038,251.56506
20200420T2100,11.753877,242.65013
20200420T2200,10.163227,247.0679
20200420T2300,8.759178,260.5377
20200421T0000,6.130579,266.63354
20200421T0100,5.4119864,273.8141
20200421T0200,5.2416787,285.9454
20200421T0300,6.725354,285.5241
20200421T0400,7.289444,290.22485
20200421T0500,8.049845,296.56506
20200421T0600,10.739833,283.57043
20200421T0700,10.390226,284.03625
20200421T0800,9.47012,278.74615
20200421T0900,13.627795,282.20047
20200421T1000,17.555305,285.46124
20200421T1100,19.914217,282.5288
20200421T1200,19.296133,284.03625
20200421T1300,19.562946,282.75754
20200421T1400,18.161278,283.7608
20200421T1500,19.829433,285.80252
20200421T1600,18.1041,287.35403
20200421T1700,16.862455,286.11343
20200421T1800,14.830076,275.5722
20200421T1900,15.893093,283.0919
20200421T2000,10.08,270
20200421T2100,7.208994,267.1376
20200421T2200,4.3349743,265.23636
20200421T2300,2.2768397,288.43497
20200422T0000,1.08,360
20200422T0100,3.6,53.130096
20200422T0200,5.315336,61.699234
20200422T0300,6.297428,59.036255
20200422T0400,7.5942082,58.570435
20200422T0500,7.729527,62.241455
20200422T0600,4.3349743,48.366455
20200422T0700,4.8433046,41.987198
20200422T0800,4.510787,61.38954
20200422T0900,2.2768397,71.56504
20200422T1000,2.0364676,44.999985
20200422T1100,2.16,360
20200422T1200,3.7064266,299.0546
20200422T1300,6.9899354,281.88867
20200422T1400,11.183201,273.6914
20200422T1500,16.56,270
20200422T1600,20.523155,271.0051
20200422T1700,23.042812,270.89517
20200422T1800,11.542478,266.42368
20200422T1900,12.783802,260.27243
20200422T2000,10.446206,268.0251
20200422T2100,5.937272,284.03625
20200422T2200,2.8116899,309.80557
20200422T2300,1.4399999,360
20200423T0000,1.1384199,18.434952
20200423T0100,1.1384199,71.56504
20200423T0200,2.16,89.99999
20200423T0300,2.8799999,89.99999
20200423T0400,2.8799999,89.99999
20200423T0500,3.2599385,96.34019
20200423T0600,4.3498964,114.44395
20200423T0700,4.829907,116.56505
20200423T0800,4.8965297,126.027374
20200423T0900,5.04,180
20200423T1000,6.9527545,201.2505
20200423T1100,10.195057,222.1376
20200423T1200,13.608762,232.52382
20200423T1300,18.03237,243.9465
20200423T1400,20.858265,248.7495
20200423T1500,23.795427,252.38742
20200423T1600,23.688984,253.21736
20200423T1700,22.545315,250.40771
20200423T1800,18.86139,246.37064
20200423T1900,16.75064,241.78264
20200423T2000,12.387348,234.46233
20200423T2100,8.942214,220.1009
20200423T2200,7.5170207,196.69925
20200423T2300,6.8399997,180
